	alpha	epsilon	gamma	penalties	penalties_last_10	perc_to_deadline	perc_to_deadline_last_10	scores	scores_last_10	steps	steps_last_10	successes	successes_last_10
179	0.8	1.0	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3098.75	0.0	0.0	0.0
180	1.0	0.0	0.0	32.25	1.7	0.455670822511	0.447050721501	2216.725	224.85	1371.55	224.85	98.45	9.85
181	1.0	0.2	0.0	32.25	1.45	0.446769891775	0.439803932179	2214.975	224.2	1333.65	224.2	98.55	9.9
182	1.0	0.4	0.0	32.4	1.9	0.439258286436	0.399052453102	2207.1	223.05	1309.4	223.05	98.6	10.0
183	1.0	0.6	0.0	33.0	1.85	0.443310761183	0.449891053391	2235.475	221.3	1352.3	221.3	98.85	9.9
184	1.0	0.8	0.0	31.3	1.45	0.439415620491	0.422134776335	2216.2	227.225	1334.9	227.225	98.95	9.9
185	1.0	1.0	0.0	33.35	1.55	0.453903495671	0.443919119769	2191.6	218.05	1329.4	218.05	98.45	9.8
186	1.0	0.0	0.2	73.95	2.4	0.487206053391	0.424119336219	2166.225	218.375	1351.2	218.375	97.2	9.9
187	1.0	0.2	0.2	71.55	2.6	0.481960984848	0.395216305916	2176.675	224.7	1348.05	224.7	97.2	10.0
188	1.0	0.4	0.2	74.45	2.7	0.477566565657	0.429153138528	2192.275	220.0	1378.05	220.0	97.6	9.9
189	1.0	0.6	0.2	73.0	2.15	0.47268482684	0.39164025974	2185.575	221.15	1367.65	221.15	97.75	10.0
190	1.0	0.8	0.2	72.5	2.25	0.478060595238	0.42680487013	2185.275	227.975	1358.95	227.975	97.6	10.0
191	1.0	1.0	0.2	75.55	2.1	0.495221111111	0.413601118326	2195.875	227.65	1394.45	227.65	97.1	10.0
192	1.0	0.0	0.4	120.85	2.8	0.547909343434	0.439159848485	2178.975	221.475	1418.7	221.475	95.25	9.95
193	1.0	0.2	0.4	123.15	2.25	0.557132388167	0.420462806638	2185.6	227.625	1421.95	227.625	94.95	9.9
194	1.0	0.4	0.4	124.8	2.8	0.557799494949	0.4473251443	2173.8	221.45	1439.95	221.45	95.2	9.95
195	1.0	0.6	0.4	122.95	3.1	0.542248084416	0.400026948052	2187.65	223.9	1411.7	223.9	95.4	10.0
196	1.0	0.8	0.4	118.85	2.85	0.561056453824	0.443829220779	2180.3	218.525	1422.95	218.525	94.7	9.85
197	1.0	1.0	0.4	123.1	1.8	0.546323647186	0.430941991342	2188.75	223.275	1417.85	223.275	95.05	9.9
198	1.0	0.0	0.6	329.45	13.95	0.696779278499	0.459324350649	2352.625	238.975	1538.4	238.975	90.0	9.9
199	1.0	0.2	0.6	331.3	9.4	0.733765104618	0.466393903319	2347.1	232.2	1578.1	232.2	88.6	9.85
200	1.0	0.4	0.6	331.9	14.1	0.715754895382	0.502833621934	2360.2	236.65	1567.95	236.65	89.6	9.75
201	1.0	0.6	0.6	312.5	6.95	0.709923477633	0.431976154401	2323.375	226.05	1543.35	226.05	89.45	9.9
202	1.0	0.8	0.6	341.65	14.5	0.731934224387	0.485270310245	2373.825	240.5	1572.25	240.5	88.7	9.8
203	1.0	1.0	0.6	320.8	7.6	0.704616100289	0.426465764791	2327.45	237.225	1553.5	237.225	90.05	9.95
204	1.0	0.0	0.8	633.35	40.75	1.03534743146	0.593902669553	2435.025	268.75	1811.35	268.75	78.2	9.4
205	1.0	0.2	0.8	624.7	43.7	1.01229844877	0.683714033189	2464.2	285.4	1804.8	285.4	78.95	9.25
206	1.0	0.4	0.8	638.35	43.0	1.06716167749	0.660106746032	2454.8	286.3	1827.35	286.3	77.05	9.3
207	1.0	0.6	0.8	640.4	45.95	1.03973255772	0.738537229437	2452.275	296.425	1821.65	296.425	78.05	8.9
208	1.0	0.8	0.8	637.45	40.25	1.04963864358	0.659173124098	2424.75	281.225	1830.4	281.225	77.45	9.3
209	1.0	1.0	0.8	646.25	43.25	1.06083503247	0.637351839827	2425.4	277.425	1822.8	277.425	77.7	9.45
210	1.0	0.0	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3084.25	0.0	0.0	0.0
211	1.0	0.2	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3067.5	0.0	0.0	0.0
212	1.0	0.4	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3122.75	0.0	0.0	0.0
213	1.0	0.6	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3091.5	0.0	0.0	0.0
214	1.0	0.8	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3042.5	0.0	0.0	0.0
215	1.0	1.0	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3079.25	0.0	0.0	0.0
