	alpha	avg_perc_to_deadline	avg_perc_to_deadline_last_10	eps_iters	epsilon	gamma	last_10_successes	scores	scores_last_10	successes
90	0.4	1.30767923604	0.742071428571	4.55	0.0	0.6	8.8	2323.55	291.625	70.4
91	0.4	1.32459019348	0.927361111111	36.45	0.2	0.6	8.5	2313.975	279.425	70.05
92	0.4	1.3036043825	1.0110952381	61.0	0.4	0.6	8.7	2337.25	273.125	70.8
93	0.4	1.21818730303	0.470053571429	81.25	0.6	0.6	9.3	2275.8	283.95	73.75
94	0.4	1.26585852242	0.3603125	100.25	0.8	0.6	9.4	2324.325	284.225	72.3
95	0.4	1.22774783091	0.586220238095	101.0	1.0	0.6	9.25	2309.4	273.275	73.75
96	0.4	1.50005390708	0.961669642857	5.3	0.0	0.8	8.4	2045.35	258.475	63.5
97	0.4	1.5635991764	0.922914186508	41.3	0.2	0.8	8.45	2042.525	262.675	61.4
98	0.4	1.52749814349	1.23097718254	69.75	0.4	0.8	8.15	2121.225	288.65	62.65
99	0.4	1.56135566065	1.25595238095	92.35	0.6	0.8	8.15	2021.8	265.4	61.1
100	0.4	1.59948059083	1.41672619048	100.9	0.8	0.8	7.6	2033.3	243.525	59.75
101	0.4	1.66307658331	1.53472321429	101.0	1.0	0.8	7.8	1973.725	271.875	57.65
102	0.4	3.0	3.0	101.0	0.0	1.0	0.0	0.0	0.0	0.0
103	0.4	3.0	3.0	101.0	0.2	1.0	0.0	0.0	0.0	0.0
104	0.4	3.0	3.0	101.0	0.4	1.0	0.0	0.0	0.0	0.0
105	0.4	3.0	3.0	101.0	0.6	1.0	0.0	0.0	0.0	0.0
106	0.4	3.0	3.0	101.0	0.8	1.0	0.0	0.0	0.0	0.0
107	0.4	3.0	3.0	101.0	1.0	1.0	0.0	0.0	0.0	0.0
108	0.6	0.570436801294	0.15	4.05	0.0	0.0	9.95	2168.9	224.65	95.2
109	0.6	0.569106571035	0.0964285714286	21.35	0.2	0.0	9.9	2138.8	224.9	95.1
110	0.6	0.576350340709	0.0	41.85	0.4	0.0	10.0	2151.45	222.3	94.75
111	0.6	0.565037063397	0.0464285714286	61.4	0.6	0.0	9.9	2158.375	219.95	95.2
112	0.6	0.581636030406	0.0776785714286	82.35	0.8	0.0	9.85	2140.8	224.85	94.45
113	0.6	0.564534641192	0.155	100.8	1.0	0.0	9.85	2153.45	222.6	95.2
114	0.6	0.65148818595	0.166666666667	3.2	0.0	0.2	9.85	2171.35	229.45	92.2
115	0.6	0.657300969377	0.204166666667	23.65	0.2	0.2	9.85	2201.4	222.775	92.5
116	0.6	0.64181540208	0.075	43.6	0.4	0.2	9.95	2191.025	228.3	92.95
117	0.6	0.669329403181	0.137083333333	64.0	0.6	0.2	9.7	2209.675	226.0	92.4
118	0.6	0.645772381746	0.0666666666667	84.25	0.8	0.2	9.9	2188.275	222.15	92.5
119	0.6	0.654226872883	0.16875	100.9	1.0	0.2	9.8	2202.375	231.975	92.6
120	0.6	0.895279337549	0.40675	3.55	0.0	0.4	9.4	2534.425	274.925	85.0
121	0.6	0.949432581936	0.8078125	27.4	0.2	0.4	9.1	2577.65	283.125	83.15
122	0.6	0.948063913897	0.62693452381	49.65	0.4	0.4	9.05	2563.675	280.175	83.3
123	0.6	0.91372378663	0.59119047619	70.35	0.6	0.4	9.35	2527.45	273.0	84.4
124	0.6	0.968176905002	0.764166666667	94.05	0.8	0.4	9.0	2611.15	272.75	82.5
125	0.6	0.922797766783	1.15098214286	101.0	1.0	0.4	9.0	2573.475	267.875	84.1
126	0.6	1.06079250279	0.33880952381	4.55	0.0	0.6	9.3	2448.45	276.1	79.6
127	0.6	1.07841123201	0.533214285714	32.1	0.2	0.6	9.2	2451.575	281.5	78.5
128	0.6	1.06661726529	0.368720238095	53.8	0.4	0.6	9.5	2480.475	281.875	79.45
129	0.6	1.12313910646	0.716979166667	78.0	0.6	0.6	9.25	2445.425	289.725	76.8
130	0.6	1.11724506963	0.769307539683	98.15	0.8	0.6	8.85	2433.0	276.05	77.1
131	0.6	1.11511055075	0.759285714286	101.0	1.0	0.6	9.1	2441.55	286.05	77.1
132	0.6	1.41611652354	1.84291997354	5.0	0.0	0.8	7.6	2235.725	274.525	66.1
133	0.6	1.46245004216	1.40486607143	38.3	0.2	0.8	8.4	2190.75	282.95	64.6
134	0.6	1.40579551971	0.791785714286	65.35	0.4	0.8	8.75	2191.95	263.425	67.1
135	0.6	1.3610017214	1.04938888889	86.55	0.6	0.8	8.8	2223.85	266.95	68.7
136	0.6	1.44131589431	0.974662698413	100.7	0.8	0.8	8.65	2248.65	274.15	65.65
137	0.6	1.39114583584	1.08814153439	101.0	1.0	0.8	8.55	2244.925	270.95	68.0
138	0.6	3.0	3.0	101.0	0.0	1.0	0.0	0.0	0.0	0.0
139	0.6	3.0	3.0	101.0	0.2	1.0	0.0	0.0	0.0	0.0
140	0.6	3.0	3.0	101.0	0.4	1.0	0.0	0.0	0.0	0.0
141	0.6	3.0	3.0	101.0	0.6	1.0	0.0	0.0	0.0	0.0
142	0.6	3.0	3.0	101.0	0.8	1.0	0.0	0.0	0.0	0.0
143	0.6	3.0	3.0	101.0	1.0	1.0	0.0	0.0	0.0	0.0
144	0.8	0.512656700928	0.0166666666667	2.55	0.0	0.0	9.95	2171.125	221.8	96.9
